name,url,stargazers,watchers,forkCount,isFork,commitComments,releases,createdAt,primaryLanguage
matplotlib,https://github.com/matplotlib/matplotlib,11019,545,4875,False,296,44,2011-02-19T03:17:12Z,Python
sherlock,https://github.com/sherlock-project/sherlock,10894,224,1039,False,10,0,2018-12-24T14:30:48Z,Python
autojump,https://github.com/wting/autojump,10893,170,539,False,19,0,2009-01-14T11:18:07Z,Python
neural-networks-and-deep-learning,https://github.com/mnielsen/neural-networks-and-deep-learning,10858,1022,5111,False,8,0,2012-11-13T13:38:24Z,Python
kivy,https://github.com/kivy/kivy,10801,581,2356,False,238,6,2010-11-03T20:27:32Z,Python
ray,https://github.com/ray-project/ray,10788,376,1587,False,62,30,2016-10-25T19:38:30Z,Python
pix2code,https://github.com/tonybeltramelli/pix2code,10785,1327,1177,False,1,0,2017-05-24T05:51:41Z,Python
requests-html,https://github.com/psf/requests-html,10741,288,683,False,5,1,2018-02-24T20:11:02Z,Python
salt,https://github.com/saltstack/salt,10718,589,4802,False,1954,134,2011-02-20T20:16:56Z,Python
zipline,https://github.com/quantopian/zipline,10718,921,3141,False,510,11,2012-10-19T15:50:29Z,Python
cascadia-code,https://github.com/microsoft/cascadia-code,10626,180,291,False,1,4,2019-07-10T22:50:20Z,Python
gensim,https://github.com/RaRe-Technologies/gensim,10552,454,3704,False,164,31,2011-02-10T07:43:04Z,Python
spleeter,https://github.com/deezer/spleeter,10544,238,955,False,6,1,2019-09-26T15:40:46Z,Python
inter,https://github.com/rsms/inter,10522,170,229,False,23,43,2017-08-22T07:14:17Z,Python
game-programmer,https://github.com/miloyip/game-programmer,10444,755,1289,False,1,0,2016-12-06T06:26:17Z,Python
prophet,https://github.com/facebook/prophet,10404,395,2780,False,4,8,2016-11-16T01:50:08Z,Python
yapf,https://github.com/google/yapf,10356,210,704,False,69,0,2015-03-18T18:22:31Z,Python
Zappa,https://github.com/Miserlou/Zappa,10352,275,1142,False,24,6,2016-01-20T21:57:04Z,Python
magic-wormhole,https://github.com/warner/magic-wormhole,10248,209,396,False,0,0,2015-02-10T08:38:44Z,Python
awesome-algorithm,https://github.com/apachecn/awesome-algorithm,10203,486,2150,False,2,0,2017-09-29T04:26:40Z,Python
facenet,https://github.com/davidsandberg/facenet,10203,578,4147,False,19,0,2016-02-12T22:14:40Z,Python
FastPhotoStyle,https://github.com/NVIDIA/FastPhotoStyle,10150,290,1060,False,2,1,2018-02-14T17:29:52Z,Python
python-spider,https://github.com/Jack-Cherish/python-spider,10141,529,4051,False,23,0,2017-05-05T07:28:13Z,Python
